ID,Nombre,Categoria
"00026635","Acuerdos de Pago Banco Bta","Obligaciones Aval"
"00000209","BANCO ARQUID DE ALIMENTOS","Fundaciones"
"00000850","Banco Contactar","Otras Obligaciones financieras"
"00003526","BANCO CREDIFINANCIERA ALIADOS","Otros Servicios"
"00001131","BANCO DE ALIMENTOS DE CALI","Fundaciones"
"O0106","BANCO DE BOGOTÁ - ADELANTO DE NÓMINA","Obligaciones Aval"
"O0111","Banco De Bogotá - CeroPay","Obligaciones Aval"
"O0107","BANCO DE BOGOTÁ - CREDIESTUDIANTIL","Obligaciones Aval"
"O0101","BANCO DE BOGOTÁ - CREDISERVICE","Obligaciones Aval"
"O0102","BANCO DE BOGOTÁ - CRÉDITO HIPOTECARIO","Obligaciones Aval"
"O0108","BANCO DE BOGOTÁ - LIBRANZA","Obligaciones Aval"
"O0109","BANCO DE BOGOTÁ - LIBRE DESTINO","Obligaciones Aval"
"O0103","BANCO DE BOGOTÁ - OTROS CRÉDITOS","Obligaciones Aval"
"O0104","BANCO DE BOGOTÁ - TARJETA DE CRÉDITO MASTERCARD","Obligaciones Aval"
"O0105","BANCO DE BOGOTÁ - TARJETA DE CRÉDITO VISA","Obligaciones Aval"
"O0110","BANCO DE BOGOTÁ - VEHÍCULO","Obligaciones Aval"
"00015211","BANCO DE LAS OPORTUNIDADES CARTERA","Cooperativas"
"O0210","BANCO DE OCCIDENTE - CRÉDITO ROTATIVO","Obligaciones Aval"
"O0203","Banco De Occidente - Ordinaria - Fomento - Unidirecto - Factoring - Tesorería y Créditos Especiales","Obligaciones Aval"
"O0214","BANCO DE OCCIDENTE - PAGO TARJETA DE CRÉDITO CREDENCIAL MASTERCARD","Obligaciones Aval"
"O0212","BANCO DE OCCIDENTE - PAGO TARJETA DE CRÉDITO VISA","Obligaciones Aval"
"O0202","Banco de Occidente - Prestamo Personal, Libranza y Vehiculos","Obligaciones Aval"
"O0209","BANCO DE OCCIDENTE - UNIVERSIDAD GARANTIZADA","Obligaciones Aval"
"00000104","Banco de Occidente Leasing Vivienda y Constructor","Obligaciones Aval"
"00009506","Banco de Occidente Prestamo Dinamico","Obligaciones Aval"
"00013504","BANCO DIOCESANO DE ALIMENTOS R","Otros Servicios"
"00001441","BANCO FINANDINA","Otras Obligaciones financieras"
"00010648","BANCO MUNDO MUJER","Otros Servicios"
"O0303","BANCO POPULAR - TARJETA DE CRÉDITO VISA - MASTERCARD","Obligaciones Aval"
"00013546","Banco Popular Credito de Vivienda","Otras Obligaciones financieras"
"00007287","Banco Popular EPIK","Obligaciones Aval"
"O0304","Banco Popular Libre Destino Leasing Comercial Constructor Microcrédito (Ex)Empleado","Obligaciones Aval"
"00016833","BANCO POPULAR NEGOCIACIONES","Obligaciones Aval"
"00003908","BANCO POPULAR TARJETA EXPRES Y TARJETA LA 14","Obligaciones Aval"
"00015040","Banco Santander Credito de Consumo","Otras Obligaciones financieras"
"00015042","BANCO SANTANDER CREDITO VEHICULOS","Otras Obligaciones financieras"
"00017793","CONDOMINIO VILLAS DEL BANCO CALI CRA 127 945","Conjuntos residenciales"
"00007302","COOP D EMPLEADOS DL BANCO DE BOGOTA","Fondo De Empleados"
"00025138","COPROP EDIF BANCO POPULAR PH","Conjuntos residenciales"
"00008884","EDIF BANCO BOGOTA CALI","Otros Servicios"
"00026235","EDIF BANCO SANTANDER","Conjuntos residenciales"
"00029739","EDIFICIO BANCO CENTRAL HIPOTEC","Conjuntos residenciales"
"00019685","EDIFICIO BANCO GANADERO CHICO 93 CRA 15 NO 93 75","Conjuntos residenciales"
"00019686","EDIFICIO BANCO MERCANTIL CARRERA 17 34 86","Conjuntos residenciales"
"00019687","EDIFICIO BANCOQUIA 1 CALLE 35 CARRERA NO 17 77","Conjuntos residenciales"
"00007163","FONDO DE EMPLEADOS BANCO OCCIDENTE","Fondo De Empleados"
"00013662","LIBRANZA BANCO POPULAR","Obligaciones Aval"
"00030164","Libranzas Convenios Banco de Occide","Obligaciones Aval"
"00018105","PA FIDUBANCOL OCCIDENTE","Otras Obligaciones financieras"
"00000032","PAGO TC BANCO POPULAR PAGO MINIMO","Obligaciones Aval"
