ID,Nombre,Categoria
"00014138","4 72 RECAUDO SERVICIOS POSTALES NAC","Otros Servicios"
"00001351","A NACIONAL","Otros Servicios"
"00015246","ABASTECIMIENTOS INDUSTRIALES SAS","Otros Servicios"
"00017417","ACADEMIA AVIACION INTERNACIONAL AV 6 NORTE 23 D 16","Otros Servicios"
"00007559","ACADEMIA COLOMBIANA DE ENSENANZA CIA LTDA","Instituciones Educativas"
"00012137","ACADEMIA DE AVIACION INTERNACIONAL","Instituciones Educativas"
"00017428","ACADEMIA GOURMET INTERNACIONAL CRA 66 NO 48 C 5","Otros Servicios"
"00025729","ACANTO PARQUE RESIDENCIAL PH","Conjuntos residenciales"
"00016990","ACCESS CENTRO EMPRESARIAL PH CALLE 127 A NO 7 19","Otros Servicios"
"00003234","ACCION CULTURAL POPULAR","Fundaciones"
"00014899","ACCION Y SERVICIOS JIREH SAS","Cooperativas"
"00025577","ACCIVAL CREDITOS MAGUIBAL JYL SAS","Otros Servicios"
"00020739","ACEROS INDUSTRIALES CL 26 No 41 140","Otros Servicios"
"00018554","ACTIVIDADES LOMAS DEL VIENTO","Otros Servicios"
"00018555","ACTIVIDADES SEDE RECREACIONAL","Otros Servicios"
"00007623","ACTUAR FAMIEMPRESAS","Otros Servicios"
"00017408","ACUALANDAYES ACUEDUCTO PA CA 57 CORR DAPA","Servicios Públicos"
"00006587","ACUEDUCTO ACUAVALLE SA ESP","Servicios Públicos"
"00014346","ACUEDUCTO AGUA RICA","Servicios Públicos"
"00004950","ACUEDUCTO AGUA VIVA SA ESP","Servicios Públicos"
"00002652","ACUEDUCTO AGUAS DE BUGA SERVI PUBLI","Servicios Públicos"
"00000019","ACUEDUCTO AGUAS DE CARTAGENA","Servicios Públicos"
"00000062","ACUEDUCTO AGUAS DE MANIZALES","Servicios Públicos"
"00002108","ACUEDUCTO AGUAS DEL NORTE","Servicios Públicos"
"00003402","ACUEDUCTO AGUAS DIBULLA SA ESP","Servicios Públicos"
"00006310","ACUEDUCTO AGUAS MARAKATA SA ESP","Servicios Públicos"
"00009273","ACUEDUCTO ALTO MAGDALENA","Servicios Públicos"
"00005405","ACUEDUCTO AQUATERRA","Servicios Públicos"
"00000052","ACUEDUCTO BUCARAMANGA","Servicios Públicos"
"00020440","ACUEDUCTO CANASGORDAS CALI","Servicios Públicos"
"00003157","ACUEDUCTO DE FUNZA","Servicios Públicos"
"00000841","ACUEDUCTO DE GIRARDOT ACUAGYR","Servicios Públicos"
"00027533","ACUEDUCTO DE SAN MIGUEL","Servicios Públicos"
"00001277","ACUEDUCTO EAAAMESP MADRID","Servicios Públicos"
"00009193","ACUEDUCTO EDESA META","Servicios Públicos"
"00004462","ACUEDUCTO EMCORINTO ESP","Servicios Públicos"
"00005442","ACUEDUCTO EMP PUB PUERTO BOYACA","Servicios Públicos"
"00003683","ACUEDUCTO EMPRESA PB DE SIBATE RDO","Servicios Públicos"
"00002589","ACUEDUCTO EMPRESA PUBLICA FRONTINO","Servicios Públicos"
"00003912","ACUEDUCTO EMPUMELGAR ESP RECAUDO","Servicios Públicos"
"00009497","ACUEDUCTO EMPUNILO SERVICIOS PUBLI","Servicios Públicos"
"00004460","ACUEDUCTO EMSERPLA ESP RECAUDO","Servicios Públicos"
"00009985","ACUEDUCTO ESP DEL SANTUARIO","Servicios Públicos"
"00000272","ACUEDUCTO ESP LA CELIA","Otras Obligaciones financieras"
"00005432","ACUEDUCTO ESP MARINILLA","Servicios Públicos"
"00001550","ACUEDUCTO ESP PACHO SA","Servicios Públicos"
"00005760","ACUEDUCTO ESPA ACACIAS","Servicios Públicos"
"00004911","ACUEDUCTO IBAL SA ESP OFICIAL","Servicios Públicos"
"00028591","ACUEDUCTO JAVA","Servicios Públicos"
"00029425","ACUEDUCTO LA REJOYA POPAYAN","Servicios Públicos"
"00014038","ACUEDUCTO MOROS","Servicios Públicos"
"00002286","ACUEDUCTO MPIO ANOLAIMA SERVI PUBL","Servicios Públicos"
"00007075","ACUEDUCTO MUN ARBELAEZ SERVI PUBLIC","Servicios Públicos"
"00009660","ACUEDUCTO OPERADORES LASIERRA SAESP","Servicios Públicos"
"00001832","ACUEDUCTO PALERMO ESP","Otras Obligaciones financieras"
"00000106","ACUEDUCTO PIEDECUESTANA SERVICIOS","Servicios Públicos"
"00000053","ACUEDUCTO POPAYAN","Servicios Públicos"
"00008245","ACUEDUCTO SAN AGUSTIN","Servicios Públicos"
"00004203","ACUEDUCTO SANTA ANA","Servicios Públicos"
"00026635","Acuerdos de Pago Banco Bta","Obligaciones Aval"
"00017427","ADMINCOP ADMON SERVICIOS CL10 505 MZ 6 CS10 INT A","Otros Servicios"
"00007750","ADMINISTRACION EDIFICIO AVE 16 CLL 161 NO 16D 10","Conjuntos residenciales"
"00022504","Administracion Flota Rentig4058","Otras Obligaciones financieras"
"00024458","Administracion Integral PhCL12B7 90","Servicios Inmobiliarios"
"00017405","ADMINISTRACION LOS LEONES LTDA CRA 18 NO 4416","Otros Servicios"
"00016878","ADMINISTRACION OPERATIVA AUTOMOTRIZ","Otros Servicios"
"00001491","ADMINISTRACION SENDEROS RECREO IL CLL 72 SUR 95 12","Conjuntos residenciales"
"00005297","ADMINISTRACION URB SANTA CATALINA CRA 72R NO 42B","Conjuntos residenciales"
"00008814","ADMINISTRACION URBA PORTON REAL CL 22A SUR NO 2 39","Conjuntos residenciales"
"00006764","ADMINISTRACIONES JAVA SAS","Servicios Inmobiliarios"
"00001498","ADMINISTRACIONES PREMIUM SAS CLL 60 SUR NO 22 A 65","Conjuntos residenciales"
"00013211","ADMINISTRACIONES SUMMA SAS","Servicios Inmobiliarios"
"00020867","ADOM SALUD DOMICILIARIA CLL 91 A NO 50 41","Otros Servicios"
"00023825","AECSA Occidente Comercial","Otros Servicios"
"00024962","AECSA OCCIDENTE JURIDICO","Otros Servicios"
"00012060","AEROCCIDENTE","Instituciones Educativas"
"00000750","AG DE VIV QUINTAS DE SANTA BARBARA ET VI I CR 118","Conjuntos residenciales"
"00016591","AG DE VIVIEN PORTALES DE VILLA LUZ ET2KR85LNo63F10","Conjuntos residenciales"
"00000744","AG DE VIVIENDA PARQ RESID NUEVO SUBA IL ET CR 101A","Conjuntos residenciales"
"00001026","AG VIVIEND NUEVA TIBABUYES SECTOR C CL130 C 123 90","Conjuntos residenciales"
